"_id","ReportedYear","Category","Subtype","AssaultSubtype","Sex","AgeGroup","AgeCohort","Count_"
1,2014,"Crimes Against the Person","Assault","Aggravated Peace Officer","M","Adult","25-34","2"
2,2014,"Crimes Against the Person","Assault","Aggravated Peace Officer","M","Adult","55-64","1"
3,2014,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","18-24","1"
4,2014,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","25-34","5"
5,2014,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","35-44","3"
6,2014,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","45-54","1"
7,2014,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","55-64","1"
8,2014,"Crimes Against the Person","Assault","Assault Peace Officer","F","Unknown","Unknown","55"
9,2014,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","18-24","2"
10,2014,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","25-34","21"
11,2014,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","35-44","19"
12,2014,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","45-54","14"
13,2014,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","55-64","1"
14,2014,"Crimes Against the Person","Assault","Assault Peace Officer","M","Unknown","Unknown","283"
15,2014,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","F","Adult","25-34","1"
16,2014,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","F","Adult","35-44","1"
17,2014,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","F","Unknown","Unknown","3"
18,2014,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","25-34","4"
19,2014,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","35-44","2"
20,2014,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","45-54","1"
21,2014,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Unknown","Unknown","23"
22,2014,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","18-24","1"
23,2014,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","25-34","22"
24,2014,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","35-44","4"
25,2014,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","45-54","1"
26,2014,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Unknown","Unknown","13"
27,2014,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","18-24","33"
28,2014,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","25-34","84"
29,2014,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","35-44","35"
30,2014,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","45-54","14"
31,2014,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","55-64","5"
32,2014,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","65+","1"
33,2014,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Unknown","Unknown","86"
34,2014,"Crimes Against the Person","Assault","Other","F","Adult","18-24","1460"
35,2014,"Crimes Against the Person","Assault","Other","F","Adult","25-34","1904"
36,2014,"Crimes Against the Person","Assault","Other","F","Adult","35-44","1276"
37,2014,"Crimes Against the Person","Assault","Other","F","Adult","45-54","919"
38,2014,"Crimes Against the Person","Assault","Other","F","Adult","55-64","388"
39,2014,"Crimes Against the Person","Assault","Other","F","Adult","65+","287"
40,2014,"Crimes Against the Person","Assault","Other","F","Child","<12","325"
41,2014,"Crimes Against the Person","Assault","Other","F","Unknown","Unknown","94"
42,2014,"Crimes Against the Person","Assault","Other","F","Youth","12-17","525"
43,2014,"Crimes Against the Person","Assault","Other","M","Adult","18-24","1056"
44,2014,"Crimes Against the Person","Assault","Other","M","Adult","25-34","1667"
45,2014,"Crimes Against the Person","Assault","Other","M","Adult","35-44","1141"
46,2014,"Crimes Against the Person","Assault","Other","M","Adult","45-54","1183"
47,2014,"Crimes Against the Person","Assault","Other","M","Adult","55-64","611"
48,2014,"Crimes Against the Person","Assault","Other","M","Adult","65+","285"
49,2014,"Crimes Against the Person","Assault","Other","M","Child","<12","506"
50,2014,"Crimes Against the Person","Assault","Other","M","Unknown","Unknown","213"
51,2016,"Crimes Against the Person","Other","N/A","U","Adult","18-24","1"
52,2016,"Crimes Against the Person","Other","N/A","U","Adult","25-34","1"
53,2016,"Crimes Against the Person","Other","N/A","U","Adult","35-44","2"
54,2016,"Crimes Against the Person","Other","N/A","U","Adult","45-54","1"
55,2016,"Crimes Against the Person","Other","N/A","U","Unknown","Unknown","1"
56,2016,"Crimes Against the Person","Robbery","N/A","F","Adult","18-24","191"
57,2016,"Crimes Against the Person","Robbery","N/A","F","Adult","25-34","185"
58,2016,"Crimes Against the Person","Robbery","N/A","F","Adult","35-44","114"
59,2016,"Crimes Against the Person","Robbery","N/A","F","Adult","45-54","122"
60,2016,"Crimes Against the Person","Robbery","N/A","F","Adult","55-64","97"
61,2016,"Crimes Against the Person","Robbery","N/A","F","Adult","65+","41"
62,2016,"Crimes Against the Person","Robbery","N/A","F","Child","<12","6"
63,2016,"Crimes Against the Person","Robbery","N/A","F","Unknown","Unknown","11"
64,2016,"Crimes Against the Person","Robbery","N/A","F","Youth","12-17","77"
65,2016,"Crimes Against the Person","Robbery","N/A","M","Adult","18-24","703"
66,2016,"Crimes Against the Person","Robbery","N/A","M","Adult","25-34","434"
67,2016,"Crimes Against the Person","Robbery","N/A","M","Adult","35-44","222"
68,2016,"Crimes Against the Person","Robbery","N/A","M","Adult","45-54","258"
69,2016,"Crimes Against the Person","Robbery","N/A","M","Adult","55-64","162"
70,2016,"Crimes Against the Person","Robbery","N/A","M","Adult","65+","63"
71,2016,"Crimes Against the Person","Robbery","N/A","M","Child","<12","17"
72,2016,"Crimes Against the Person","Robbery","N/A","M","Unknown","Unknown","45"
73,2016,"Crimes Against the Person","Robbery","N/A","M","Youth","12-17","699"
74,2016,"Crimes Against the Person","Robbery","N/A","U","Adult","18-24","1"
75,2016,"Crimes Against the Person","Robbery","N/A","U","Adult","35-44","1"
76,2016,"Crimes Against the Person","Robbery","N/A","U","Youth","12-17","2"
77,2016,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","18-24","515"
78,2016,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","25-34","417"
79,2016,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","35-44","181"
80,2016,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","45-54","100"
81,2016,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","55-64","56"
82,2016,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","65+","35"
83,2016,"Crimes Against the Person","Sexual Violation","N/A","F","Child","<12","208"
84,2016,"Crimes Against the Person","Sexual Violation","N/A","F","Unknown","Unknown","15"
85,2016,"Crimes Against the Person","Sexual Violation","N/A","F","Youth","12-17","434"
86,2016,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","18-24","43"
87,2016,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","25-34","24"
88,2016,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","35-44","15"
89,2016,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","45-54","11"
90,2016,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","55-64","6"
91,2016,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","65+","2"
92,2016,"Crimes Against the Person","Sexual Violation","N/A","M","Child","<12","87"
93,2016,"Crimes Against the Person","Sexual Violation","N/A","M","Unknown","Unknown","11"
94,2016,"Crimes Against the Person","Sexual Violation","N/A","M","Youth","12-17","48"
95,2016,"Crimes Against the Person","Sexual Violation","N/A","U","Adult","18-24","1"
96,2016,"Crimes Against the Person","Sexual Violation","N/A","U","Youth","12-17","1"
97,2017,"Crimes Against the Person","Assault","Aggravated Peace Officer","F","Adult","65+","1"
98,2017,"Crimes Against the Person","Assault","Aggravated Peace Officer","M","Adult","35-44","1"
99,2017,"Crimes Against the Person","Assault","Aggravated Peace Officer","M","Unknown","Unknown","4"
100,2017,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","18-24","1"
101,2015,"Crimes Against the Person","Assault","Other","F","Child","<12","296"
102,2015,"Crimes Against the Person","Assault","Other","F","Unknown","Unknown","73"
103,2015,"Crimes Against the Person","Assault","Other","F","Youth","12-17","510"
104,2015,"Crimes Against the Person","Assault","Other","M","Adult","18-24","1255"
105,2015,"Crimes Against the Person","Assault","Other","M","Adult","25-34","1700"
106,2015,"Crimes Against the Person","Assault","Other","M","Adult","35-44","1217"
107,2015,"Crimes Against the Person","Assault","Other","M","Adult","45-54","1301"
108,2015,"Crimes Against the Person","Assault","Other","M","Adult","55-64","682"
109,2015,"Crimes Against the Person","Assault","Other","M","Adult","65+","335"
110,2015,"Crimes Against the Person","Assault","Other","M","Child","<12","470"
111,2015,"Crimes Against the Person","Assault","Other","M","Unknown","Unknown","211"
112,2015,"Crimes Against the Person","Robbery","N/A","M","Child","<12","16"
113,2015,"Crimes Against the Person","Assault","Other","M","Youth","12-17","543"
114,2015,"Crimes Against the Person","Assault","Other","U","Adult","18-24","1"
115,2015,"Crimes Against the Person","Assault","Other","U","Adult","45-54","1"
116,2015,"Crimes Against the Person","Other","N/A","F","Adult","18-24","533"
117,2015,"Crimes Against the Person","Other","N/A","F","Adult","25-34","858"
118,2015,"Crimes Against the Person","Robbery","N/A","M","Unknown","Unknown","29"
119,2015,"Crimes Against the Person","Other","N/A","F","Adult","35-44","575"
120,2015,"Crimes Against the Person","Robbery","N/A","M","Youth","12-17","615"
121,2015,"Crimes Against the Person","Other","N/A","F","Adult","45-54","409"
122,2015,"Crimes Against the Person","Robbery","N/A","U","Adult","18-24","1"
123,2015,"Crimes Against the Person","Other","N/A","F","Adult","55-64","184"
124,2015,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","18-24","475"
125,2015,"Crimes Against the Person","Other","N/A","F","Adult","65+","125"
126,2015,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","25-34","362"
127,2015,"Crimes Against the Person","Other","N/A","F","Child","<12","64"
128,2015,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","35-44","180"
129,2015,"Crimes Against the Person","Other","N/A","F","Unknown","Unknown","77"
130,2015,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","45-54","114"
131,2015,"Crimes Against the Person","Other","N/A","F","Youth","12-17","261"
132,2015,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","55-64","35"
133,2015,"Crimes Against the Person","Other","N/A","M","Adult","18-24","297"
134,2015,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","65+","33"
135,2015,"Crimes Against the Person","Other","N/A","M","Adult","25-34","486"
136,2015,"Crimes Against the Person","Sexual Violation","N/A","F","Child","<12","233"
137,2015,"Crimes Against the Person","Other","N/A","M","Adult","35-44","463"
138,2015,"Crimes Against the Person","Sexual Violation","N/A","F","Unknown","Unknown","22"
139,2015,"Crimes Against the Person","Other","N/A","M","Adult","45-54","441"
140,2015,"Crimes Against the Person","Sexual Violation","N/A","F","Youth","12-17","409"
141,2015,"Crimes Against the Person","Other","N/A","M","Adult","55-64","260"
142,2015,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","18-24","41"
143,2015,"Crimes Against the Person","Other","N/A","M","Adult","65+","140"
144,2015,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","25-34","31"
145,2015,"Crimes Against the Person","Other","N/A","M","Child","<12","89"
146,2015,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","35-44","15"
147,2015,"Crimes Against the Person","Other","N/A","M","Unknown","Unknown","170"
148,2015,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","45-54","14"
149,2015,"Crimes Against the Person","Other","N/A","M","Youth","12-17","173"
150,2015,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","55-64","4"
151,2015,"Crimes Against the Person","Other","N/A","U","Adult","25-34","1"
152,2015,"Crimes Against the Person","Other","N/A","U","Adult","35-44","1"
153,2015,"Crimes Against the Person","Other","N/A","U","Unknown","Unknown","6"
154,2015,"Crimes Against the Person","Robbery","N/A","F","Adult","18-24","190"
155,2015,"Crimes Against the Person","Robbery","N/A","F","Adult","25-34","175"
156,2015,"Crimes Against the Person","Robbery","N/A","F","Adult","35-44","109"
157,2015,"Crimes Against the Person","Robbery","N/A","F","Adult","45-54","136"
158,2015,"Crimes Against the Person","Robbery","N/A","F","Adult","55-64","78"
159,2015,"Crimes Against the Person","Robbery","N/A","F","Adult","65+","61"
160,2015,"Crimes Against the Person","Robbery","N/A","F","Child","<12","8"
161,2015,"Crimes Against the Person","Robbery","N/A","F","Unknown","Unknown","10"
162,2015,"Crimes Against the Person","Robbery","N/A","F","Youth","12-17","66"
163,2015,"Crimes Against the Person","Robbery","N/A","M","Adult","18-24","634"
164,2015,"Crimes Against the Person","Robbery","N/A","M","Adult","25-34","404"
165,2015,"Crimes Against the Person","Robbery","N/A","M","Adult","35-44","200"
166,2015,"Crimes Against the Person","Robbery","N/A","M","Adult","45-54","227"
167,2015,"Crimes Against the Person","Robbery","N/A","M","Adult","55-64","154"
168,2015,"Crimes Against the Person","Robbery","N/A","M","Adult","65+","94"
169,2015,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","65+","9"
170,2015,"Crimes Against the Person","Sexual Violation","N/A","M","Child","<12","100"
171,2015,"Crimes Against the Person","Sexual Violation","N/A","M","Unknown","Unknown","22"
172,2015,"Crimes Against the Person","Sexual Violation","N/A","M","Youth","12-17","70"
173,2016,"Crimes Against the Person","Assault","Aggravated Peace Officer","M","Unknown","Unknown","1"
174,2016,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","18-24","3"
175,2016,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","25-34","14"
176,2016,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","35-44","5"
177,2016,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","45-54","6"
178,2016,"Crimes Against the Person","Assault","Assault Peace Officer","F","Unknown","Unknown","74"
179,2016,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","18-24","3"
180,2016,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","25-34","33"
181,2016,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","35-44","26"
182,2016,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","45-54","13"
183,2016,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","55-64","5"
184,2016,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","65+","1"
185,2016,"Crimes Against the Person","Assault","Assault Peace Officer","M","Unknown","Unknown","276"
186,2016,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","F","Adult","35-44","2"
187,2016,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","F","Adult","45-54","1"
188,2016,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","F","Unknown","Unknown","13"
189,2016,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","25-34","1"
190,2016,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","45-54","5"
191,2016,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Unknown","Unknown","26"
192,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","18-24","11"
193,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","25-34","13"
194,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","35-44","11"
195,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","45-54","2"
196,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","55-64","1"
197,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","65+","1"
198,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Unknown","Unknown","9"
199,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","18-24","49"
200,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","25-34","80"
201,2017,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","25-34","17"
202,2017,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","35-44","11"
203,2017,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","45-54","7"
204,2017,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","55-64","3"
205,2017,"Crimes Against the Person","Assault","Assault Peace Officer","F","Unknown","Unknown","91"
206,2017,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","18-24","4"
207,2017,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","25-34","51"
208,2017,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","35-44","52"
209,2017,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","45-54","32"
210,2017,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","55-64","4"
211,2017,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","65+","3"
212,2017,"Crimes Against the Person","Assault","Assault Peace Officer","M","Unknown","Unknown","301"
213,2017,"Crimes Against the Person","Assault","Assault Peace Officer","U","Unknown","Unknown","2"
214,2017,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","F","Adult","25-34","4"
215,2017,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","F","Unknown","Unknown","8"
216,2017,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","18-24","2"
217,2017,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","25-34","3"
218,2017,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","35-44","8"
219,2017,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","45-54","3"
220,2017,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","55-64","3"
221,2017,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","65+","1"
222,2017,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Unknown","Unknown","30"
223,2017,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","18-24","10"
224,2017,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","25-34","15"
225,2017,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","35-44","3"
226,2017,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","45-54","5"
227,2017,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","55-64","4"
228,2017,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Unknown","Unknown","7"
229,2017,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","18-24","76"
230,2017,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","25-34","76"
231,2017,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","35-44","31"
232,2017,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","45-54","27"
233,2017,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","55-64","7"
234,2017,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","65+","4"
235,2017,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Unknown","Unknown","75"
236,2017,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Youth","12-17","2"
237,2017,"Crimes Against the Person","Assault","Other","F","Adult","18-24","1419"
238,2017,"Crimes Against the Person","Assault","Other","F","Adult","25-34","2061"
239,2017,"Crimes Against the Person","Assault","Other","F","Adult","35-44","1375"
240,2017,"Crimes Against the Person","Assault","Other","F","Adult","45-54","999"
241,2017,"Crimes Against the Person","Assault","Other","F","Adult","55-64","489"
242,2017,"Crimes Against the Person","Assault","Other","F","Adult","65+","366"
243,2017,"Crimes Against the Person","Assault","Other","F","Child","<12","290"
244,2017,"Crimes Against the Person","Assault","Other","F","Unknown","Unknown","92"
245,2017,"Crimes Against the Person","Assault","Other","F","Youth","12-17","602"
246,2017,"Crimes Against the Person","Assault","Other","M","Adult","18-24","1316"
247,2017,"Crimes Against the Person","Assault","Other","M","Adult","25-34","1935"
248,2017,"Crimes Against the Person","Assault","Other","M","Adult","35-44","1305"
249,2017,"Crimes Against the Person","Assault","Other","M","Adult","45-54","1316"
250,2017,"Crimes Against the Person","Assault","Other","M","Adult","55-64","801"
251,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","35-44","42"
252,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","45-54","24"
253,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","55-64","4"
254,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","65+","2"
255,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Unknown","Unknown","66"
256,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Youth","12-17","1"
257,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","U","Adult","25-34","1"
258,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","U","Adult","35-44","2"
259,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","U","Unknown","Unknown","2"
260,2016,"Crimes Against the Person","Assault","Other","F","Adult","18-24","1498"
261,2016,"Crimes Against the Person","Assault","Other","F","Adult","25-34","2008"
262,2016,"Crimes Against the Person","Assault","Other","F","Adult","35-44","1310"
263,2016,"Crimes Against the Person","Assault","Other","F","Adult","45-54","936"
264,2016,"Crimes Against the Person","Assault","Other","F","Adult","55-64","485"
265,2016,"Crimes Against the Person","Assault","Other","F","Adult","65+","365"
266,2016,"Crimes Against the Person","Assault","Other","F","Child","<12","260"
267,2016,"Crimes Against the Person","Assault","Other","F","Unknown","Unknown","111"
268,2016,"Crimes Against the Person","Assault","Other","F","Youth","12-17","575"
269,2016,"Crimes Against the Person","Assault","Other","M","Adult","18-24","1248"
270,2016,"Crimes Against the Person","Assault","Other","M","Adult","25-34","1857"
271,2016,"Crimes Against the Person","Assault","Other","M","Adult","35-44","1316"
272,2016,"Crimes Against the Person","Assault","Other","M","Adult","45-54","1324"
273,2016,"Crimes Against the Person","Assault","Other","M","Adult","55-64","757"
274,2016,"Crimes Against the Person","Assault","Other","M","Adult","65+","353"
275,2016,"Crimes Against the Person","Assault","Other","M","Child","<12","519"
276,2016,"Crimes Against the Person","Assault","Other","M","Unknown","Unknown","180"
277,2016,"Crimes Against the Person","Assault","Other","M","Youth","12-17","624"
278,2016,"Crimes Against the Person","Assault","Other","U","Adult","18-24","1"
279,2016,"Crimes Against the Person","Assault","Other","U","Adult","25-34","1"
280,2016,"Crimes Against the Person","Assault","Other","U","Adult","35-44","1"
281,2016,"Crimes Against the Person","Assault","Other","U","Adult","55-64","1"
282,2016,"Crimes Against the Person","Assault","Other","U","Unknown","Unknown","4"
283,2016,"Crimes Against the Person","Other","N/A","F","Adult","18-24","471"
284,2016,"Crimes Against the Person","Other","N/A","F","Adult","25-34","739"
285,2016,"Crimes Against the Person","Other","N/A","F","Adult","35-44","516"
286,2016,"Crimes Against the Person","Other","N/A","F","Adult","45-54","424"
287,2016,"Crimes Against the Person","Other","N/A","F","Adult","55-64","185"
288,2016,"Crimes Against the Person","Other","N/A","F","Adult","65+","102"
289,2016,"Crimes Against the Person","Other","N/A","F","Child","<12","60"
290,2016,"Crimes Against the Person","Other","N/A","F","Unknown","Unknown","113"
291,2016,"Crimes Against the Person","Other","N/A","F","Youth","12-17","235"
292,2016,"Crimes Against the Person","Other","N/A","M","Adult","18-24","278"
293,2016,"Crimes Against the Person","Other","N/A","M","Adult","25-34","466"
294,2016,"Crimes Against the Person","Other","N/A","M","Adult","35-44","404"
295,2016,"Crimes Against the Person","Other","N/A","M","Adult","45-54","374"
296,2016,"Crimes Against the Person","Other","N/A","M","Adult","55-64","214"
297,2016,"Crimes Against the Person","Other","N/A","M","Adult","65+","94"
298,2016,"Crimes Against the Person","Other","N/A","M","Child","<12","74"
299,2016,"Crimes Against the Person","Other","N/A","M","Unknown","Unknown","172"
300,2016,"Crimes Against the Person","Other","N/A","M","Youth","12-17","148"
301,2014,"Crimes Against the Person","Assault","Other","M","Youth","12-17","558"
302,2014,"Crimes Against the Person","Other","N/A","F","Adult","18-24","476"
303,2014,"Crimes Against the Person","Other","N/A","F","Adult","25-34","689"
304,2014,"Crimes Against the Person","Other","N/A","F","Adult","35-44","497"
305,2014,"Crimes Against the Person","Other","N/A","F","Adult","45-54","399"
306,2014,"Crimes Against the Person","Other","N/A","F","Adult","55-64","194"
307,2014,"Crimes Against the Person","Other","N/A","F","Adult","65+","83"
308,2014,"Crimes Against the Person","Other","N/A","F","Child","<12","68"
309,2014,"Crimes Against the Person","Other","N/A","F","Unknown","Unknown","83"
310,2014,"Crimes Against the Person","Other","N/A","F","Youth","12-17","216"
311,2014,"Crimes Against the Person","Other","N/A","M","Adult","18-24","222"
312,2014,"Crimes Against the Person","Other","N/A","M","Adult","25-34","412"
313,2014,"Crimes Against the Person","Other","N/A","M","Adult","35-44","378"
314,2014,"Crimes Against the Person","Other","N/A","M","Adult","45-54","359"
315,2014,"Crimes Against the Person","Other","N/A","M","Adult","55-64","198"
316,2014,"Crimes Against the Person","Other","N/A","M","Adult","65+","95"
317,2014,"Crimes Against the Person","Other","N/A","M","Child","<12","75"
318,2014,"Crimes Against the Person","Other","N/A","M","Unknown","Unknown","118"
319,2014,"Crimes Against the Person","Other","N/A","M","Youth","12-17","164"
320,2014,"Crimes Against the Person","Other","N/A","U","Unknown","Unknown","3"
321,2014,"Crimes Against the Person","Robbery","N/A","F","Adult","18-24","244"
322,2014,"Crimes Against the Person","Robbery","N/A","F","Adult","25-34","198"
323,2014,"Crimes Against the Person","Robbery","N/A","F","Adult","35-44","120"
324,2014,"Crimes Against the Person","Robbery","N/A","F","Adult","45-54","138"
325,2014,"Crimes Against the Person","Robbery","N/A","F","Adult","55-64","70"
326,2014,"Crimes Against the Person","Robbery","N/A","F","Adult","65+","61"
